generation,individual_id,green,yellow,red,speed,seed,fitness
16,3,19,3,19,100,1408,12619.5
16,4,19,3,16,100,1408,12511.2
16,5,19,3,19,60,1408,13982.599999999999
16,6,19,3,16,100,1408,12511.2
16,7,34,3,19,100,1408,18652.899999999998
16,8,19,3,19,100,1408,12619.5
16,9,19,3,29,100,1408,16789.0
16,10,19,3,19,100,1408,12619.5
16,11,19,3,16,100,1408,12511.2
16,12,19,3,16,100,1408,12511.2
16,13,19,3,19,100,1408,12619.5
16,14,19,3,16,100,1408,12511.2
16,15,39,3,58,100,1408,24283.3
16,16,19,3,19,100,1408,12619.5
16,17,19,3,19,100,1408,12619.5
17,0,19,3,59,80,1408,65235.7
17,1,37,3,16,100,1408,30633.1
17,2,55,3,19,100,1408,57245.2
17,3,19,3,16,100,1408,12511.2
17,4,19,3,16,100,1408,12511.2
17,5,19,3,58,80,1408,65716.4
17,6,19,3,59,100,1408,58503.0
17,7,19,3,19,100,1408,12619.5
17,8,33,3,19,100,1408,17343.899999999998
17,9,19,3,19,100,1408,12619.5
17,10,19,3,16,100,1408,12511.2
17,11,19,3,16,100,1408,12511.2
17,12,19,3,16,100,1408,12511.2
17,13,19,3,16,100,1408,12511.2
17,14,19,3,19,100,1408,12619.5
17,15,19,3,19,100,1408,12619.5
17,16,19,3,16,100,1408,12511.2
17,17,52,3,11,100,1408,69262.09999999999
17,18,19,3,19,100,1408,12619.5
17,19,19,3,16,100,1408,12511.2
17,20,19,3,16,100,1408,12511.2
18,0,19,3,16,100,1408,12511.2
18,1,19,3,16,100,1408,12511.2
18,2,19,3,19,100,1408,12619.5
18,3,19,3,16,100,1408,12511.2
18,4,19,3,19,100,1408,12619.5
18,5,19,3,16,100,1408,12511.2
18,6,19,3,16,100,1408,12511.2
18,7,19,3,16,100,1408,12511.2
18,8,19,3,19,100,1408,12619.5
18,9,19,3,16,60,1408,13926.8
18,10,19,3,16,100,1408,12511.2
18,11,19,3,19,100,1408,12619.5
18,12,19,3,16,100,1408,12511.2
18,13,18,3,16,100,1408,12392.0
18,14,36,3,16,100,1408,23745.9
18,15,19,3,16,100,1408,12511.2
19,0,19,3,16,100,1408,12511.2
19,1,19,5,16,100,1408,15626.099999999999
19,2,19,3,16,100,1408,12511.2
19,3,19,3,16,100,1408,12511.2
19,4,19,3,16,100,1408,12511.2
19,5,19,3,16,100,1408,12511.2
19,6,19,3,16,100,1408,12511.2
19,7,18,3,16,100,1408,12392.0
19,8,19,3,16,100,1408,12511.2
19,9,19,3,16,100,1408,12511.2
19,10,10,3,16,100,1408,14642.999999999998
19,11,25,3,16,100,1408,14476.199999999999
19,12,19,3,16,100,1408,12511.2
19,13,18,3,16,100,1408,12392.0
19,14,19,3,16,100,1408,12511.2
19,15,19,3,13,100,1408,12879.399999999998
19,16,19,3,52,100,1408,54607.299999999996
19,17,18,3,16,100,1408,12392.0
19,18,18,3,16,100,1408,12392.0
19,19,19,3,16,100,1408,12511.2
19,20,19,6,16,100,1408,16775.0
19,21,19,4,16,100,1408,12564.2
19,22,19,3,16,100,1408,12511.2
19,23,19,3,18,100,1408,11936.0
20,0,45,3,16,80,1408,54859.299999999996
20,1,19,3,16,100,1408,12511.2
20,2,18,3,16,100,1408,12392.0
20,3,18,3,16,100,1408,12392.0
20,4,18,3,16,100,1408,12392.0
20,5,34,3,16,100,1408,21907.5
20,6,18,3,16,80,1408,13054.0
20,7,19,3,16,100,1408,12511.2
20,8,19,3,16,100,1408,12511.2
20,9,19,3,33,100,1408,18104.899999999998
20,10,19,3,16,100,1408,12511.2
20,11,19,3,16,100,1408,12511.2
20,12,19,4,18,80,1408,14631.8
20,13,21,3,16,100,1408,12240.599999999999
20,14,19,3,16,100,1408,12511.2
20,15,19,3,16,100,1408,12511.2
20,16,18,3,16,100,1408,12392.0
20,17,18,3,16,100,1408,12392.0
20,18,19,3,16,60,1408,13926.8
21,0,19,3,16,100,1408,12511.2
21,1,19,3,40,100,1408,27077.199999999997
21,2,19,3,16,100,1408,12511.2
21,3,19,3,16,100,1408,12511.2
21,4,34,3,18,100,1408,19657.699999999997
21,5,18,3,16,100,1408,12392.0
21,6,19,3,12,100,1408,13723.0
21,7,21,3,16,100,1408,12240.599999999999
21,8,18,3,16,100,1408,12392.0
21,9,18,3,16,100,1408,12392.0
21,10,35,3,16,100,1408,28171.699999999997
21,11,18,3,16,100,1408,12392.0
21,12,18,3,16,100,1408,12392.0
21,13,18,3,18,100,1408,12715.699999999999
21,14,29,3,16,100,1408,17535.1
21,15,19,3,16,100,1408,12511.2
21,16,18,3,16,100,1408,12392.0
21,17,18,7,16,60,1408,20589.6
21,18,19,3,16,100,1408,12511.2
21,19,19,3,16,100,1408,12511.2
21,20,18,3,16,100,1408,12392.0
22,0,18,3,16,100,1408,12392.0
22,1,18,3,16,100,1408,12392.0
22,2,18,3,16,100,1408,12392.0
22,3,18,3,16,100,1408,12392.0
22,4,18,3,16,100,1408,12392.0
22,5,19,3,16,100,1408,12511.2
22,6,25,3,16,100,1408,14476.199999999999
22,7,38,3,16,100,1408,46013.6
22,8,26,3,16,100,1408,15768.399999999998
22,9,21,3,16,100,1408,12240.599999999999
22,10,18,3,16,100,1408,12392.0
22,11,18,3,13,60,1408,14151.5
22,12,19,3,16,100,1408,12511.2
22,13,18,3,16,100,1408,12392.0
22,14,18,3,16,100,1408,12392.0
22,15,18,3,16,100,1408,12392.0
22,16,18,3,16,100,1408,12392.0
22,17,18,3,16,100,1408,12392.0
22,18,18,3,16,100,1408,12392.0
22,19,16,3,16,100,1408,11772.8
23,0,16,3,16,60,1408,12868.099999999999
23,1,58,3,24,100,1408,35127.0
23,2,14,3,52,100,1408,66081.2
23,3,18,3,16,100,1408,12392.0
23,4,21,3,16,60,1408,13940.3
23,5,21,3,16,100,1408,12240.599999999999
23,6,18,3,16,100,1408,12392.0
23,7,21,3,16,100,1408,12240.599999999999
23,8,18,3,16,100,1408,12392.0
23,9,21,3,16,100,1408,12240.599999999999
23,10,18,3,16,100,1408,12392.0
23,11,18,3,16,100,1408,12392.0
23,12,18,3,16,100,1408,12392.0
23,13,18,3,16,100,1408,12392.0
23,14,21,3,16,100,1408,12240.599999999999
23,15,18,3,16,60,1408,13499.399999999998
23,16,18,3,16,100,1408,12392.0
23,17,18,3,16,100,1408,12392.0
23,18,18,3,16,100,1408,12392.0
24,0,18,3,16,100,1408,12392.0
24,1,18,3,16,100,1408,12392.0
24,2,58,3,25,60,1408,33283.6
24,3,16,3,16,100,1408,11772.8
24,4,16,3,16,100,1408,11772.8
24,5,18,3,16,100,1408,12392.0
24,6,18,3,16,100,1408,12392.0
24,7,18,3,16,100,1408,12392.0
24,8,18,3,16,100,1408,12392.0
24,9,18,3,16,100,1408,12392.0
24,10,18,3,16,100,1408,12392.0
24,11,21,3,16,100,1408,12240.599999999999
24,12,21,3,16,100,1408,12240.599999999999
24,13,18,3,16,60,1408,13499.399999999998
24,14,18,3,16,100,1408,12392.0
25,0,16,3,16,100,1408,11772.8
25,1,18,3,16,100,1408,12392.0
25,2,18,3,16,100,1408,12392.0
25,3,21,5,16,100,1408,14997.0
25,4,18,3,16,100,1408,12392.0
25,5,16,3,16,100,1408,11772.8
25,6,16,3,16,100,1408,11772.8
25,7,16,3,16,100,1408,11772.8
25,8,18,3,16,100,1408,12392.0
25,9,21,3,16,100,1408,12240.599999999999
25,10,18,3,16,100,1408,12392.0
25,11,21,3,16,100,1408,12240.599999999999
25,12,13,3,16,100,1408,11823.5
25,13,57,3,16,100,1408,65509.399999999994
25,14,18,6,16,100,1408,16244.099999999999
25,15,52,3,13,100,1408,67071.4
25,16,18,3,16,100,1408,12392.0
25,17,18,3,16,100,1408,12392.0
25,18,18,3,16,100,1408,12392.0
25,19,21,3,16,100,1408,12240.599999999999
25,20,18,3,16,100,1408,12392.0
25,21,16,3,16,100,1408,11772.8
25,22,48,3,16,100,1408,1000000.0
25,23,51,5,16,100,1408,64347.899999999994
25,24,16,3,16,100,1408,11772.8
25,25,16,3,16,100,1408,11772.8
25,26,44,3,16,100,1408,48810.6
26,0,18,3,16,100,1408,12392.0
26,1,43,3,16,80,1408,47903.399999999994
26,2,18,3,16,100,1408,12392.0
26,3,39,7,16,60,1408,60636.8
26,4,16,3,16,100,1408,11772.8
26,5,16,3,16,100,1408,11772.8
26,6,16,3,16,100,1408,11772.8
26,7,16,3,16,100,1408,11772.8
26,8,16,3,16,100,1408,11772.8
26,9,16,3,16,100,1408,11772.8
26,10,16,3,16,100,1408,11772.8
26,11,16,8,16,100,1408,20064.199999999997
26,12,16,3,16,100,1408,11772.8
26,13,18,3,16,100,1408,12392.0
26,14,36,3,16,100,1408,23745.9
26,15,16,3,16,100,1408,11772.8
26,16,16,3,16,100,1408,11772.8
26,17,16,3,16,100,1408,11772.8
26,18,16,3,16,80,1408,11976.0
26,19,16,3,16,100,1408,11772.8
26,20,16,3,16,100,1408,11772.8
26,21,16,3,16,100,1408,11772.8
26,22,21,3,21,100,1408,13366.2
26,23,16,3,16,100,1408,11772.8
27,0,16,3,16,100,1408,11772.8
27,1,16,3,16,100,1408,11772.8
27,2,16,4,22,100,1408,14657.3
27,3,16,3,16,80,1408,11976.0
27,4,16,3,16,100,1408,11772.8
27,5,16,3,16,100,1408,11772.8
27,6,16,3,16,100,1408,11772.8
27,7,32,3,16,100,1408,19125.199999999997
27,8,16,3,16,100,1408,11772.8
27,9,16,8,16,100,1408,20064.199999999997
27,10,16,3,16,100,1408,11772.8
27,11,16,3,16,100,1408,11772.8
27,12,16,3,16,100,1408,11772.8
27,13,16,3,16,100,1408,11772.8
27,14,16,3,16,100,1408,11772.8
27,15,16,3,16,100,1408,11772.8
28,0,16,3,16,100,1408,11772.8
28,1,16,3,16,100,1408,11772.8
28,2,16,3,16,100,1408,11772.8
28,3,16,3,16,80,1408,11976.0
28,4,16,3,34,100,1408,22990.699999999997
28,5,16,3,16,80,1408,11976.0
28,6,16,3,16,100,1408,11772.8
28,7,16,3,16,80,1408,11976.0
28,8,16,3,16,100,1408,11772.8
28,9,16,3,16,100,1408,11772.8
28,10,16,3,16,100,1408,11772.8
28,11,16,3,16,100,1408,11772.8
28,12,16,3,16,100,1408,11772.8
28,13,16,3,16,100,1408,11772.8
28,14,16,3,16,100,1408,11772.8
28,15,16,3,16,100,1408,11772.8
28,16,16,3,16,100,1408,11772.8
28,17,16,3,16,100,1408,11772.8
28,18,46,3,34,100,1408,20388.1
29,0,16,3,16,100,1408,11772.8
29,1,16,3,16,100,1408,11772.8
29,2,16,7,16,100,1408,18522.5
29,3,16,3,16,100,1408,11772.8
29,4,16,3,16,100,1408,11772.8
29,5,16,3,16,100,1408,11772.8
29,6,16,5,16,100,1408,14789.599999999999
29,7,16,3,16,100,1408,11772.8
29,8,16,3,16,100,1408,11772.8
29,9,16,8,57,100,1408,71333.4
29,10,16,3,16,100,1408,11772.8
29,11,16,3,16,100,1408,11772.8
29,12,16,3,16,100,1408,11772.8
29,13,16,3,16,100,1408,11772.8
29,14,16,7,16,100,1408,18522.5
29,15,16,3,16,100,1408,11772.8
29,16,16,3,16,100,1408,11772.8
29,17,16,3,16,100,1408,11772.8
29,18,16,3,16,100,1408,11772.8
29,19,16,3,16,100,1408,11772.8
30,0,16,3,16,100,1408,11772.8
30,1,16,3,16,100,1408,11772.8
30,2,16,3,16,100,1408,11772.8
30,3,16,3,16,100,1408,11772.8
30,4,16,3,16,100,1408,11772.8
30,5,16,3,16,100,1408,11772.8
30,6,16,3,16,100,1408,11772.8
30,7,16,3,16,100,1408,11772.8
30,8,16,3,16,100,1408,11772.8
30,9,50,3,16,100,1408,62773.399999999994
30,10,16,3,16,60,1408,12868.099999999999
30,11,16,3,16,100,1408,11772.8
30,12,16,3,16,100,1408,11772.8
30,13,16,3,16,60,1408,12868.099999999999
30,14,16,3,16,100,1408,11772.8
30,15,16,3,16,100,1408,11772.8
30,16,55,3,16,100,1408,63422.7
30,17,16,3,16,100,1408,11772.8
30,18,16,3,16,100,1408,11772.8
30,19,16,3,16,60,1408,12868.099999999999
30,20,16,3,16,100,1408,11772.8
30,21,16,3,16,100,1408,11772.8
30,22,16,3,16,100,1408,11772.8
0,0,16,3,16,100,1408,384827.0
0,1,13,3,16,100,1408,362807.5
0,2,19,3,18,100,1408,339887.0
0,3,33,8,36,100,1408,260256.5
0,4,16,8,23,80,1408,92681.5
0,5,15,3,18,40,1408,1000000.0
0,6,44,8,42,40,1408,1000000.0
0,7,24,3,29,40,1408,1000000.0
0,8,42,4,56,60,1408,93367.5
0,9,11,7,36,80,1408,113434.5
0,10,46,4,36,80,1408,133206.0
0,11,48,6,19,60,1408,86208.0
0,12,19,4,28,80,1408,278361.0
0,13,45,3,29,40,1408,1000000.0
0,14,45,7,31,40,1408,1000000.0
0,15,53,3,22,100,1408,222583.0
0,16,57,4,59,80,1408,219848.0
0,17,27,4,60,80,1408,138312.5
0,18,19,3,35,80,1408,301058.5
0,19,19,3,23,60,1408,46210.5
0,20,40,7,53,80,1408,94543.0
0,21,44,4,29,60,1408,70410.0
0,22,51,8,11,80,1408,1000000.0
0,23,35,3,23,60,1408,110476.0
0,24,23,6,49,60,1408,142691.0
0,25,58,3,25,40,1408,1000000.0
0,26,21,7,14,80,1408,91988.5
0,27,19,3,38,100,1408,409118.0
0,28,26,7,42,100,1408,156105.0
0,29,36,8,16,60,1408,86451.0
1,0,36,4,59,80,1408,156669.5
1,1,57,8,16,60,1408,93938.0
1,2,40,7,53,80,1408,94543.0
1,3,19,3,23,60,1408,46210.5
1,4,35,3,23,60,1408,110476.0
1,5,21,5,23,80,1408,173467.5
1,6,40,7,53,60,1408,53180.0
